// Copyright (C) 2003 Rational Discovery LLC
//  This file is part of the RDKit.
//  The contents are covered by the terms of the BSD license
//  which is included in the file license.txt, found at the root
//  of the RDKit source tree.
// NOTES:
//  - larger functional groups should come before smaller ones involving
//    the same core atom
//  - the first atom in the SMARTS query is not part of the group itself
//  - it is essential that the fields in this file be separated by tabs
//    (not spaces).
//
//   Label	SMARTS	Notes
//--------------------------------------------------
//Ring

RingC(=O)O	   [*;R:1][C;R](=O)[O;R][*;R:1]	   self_lactone79
-C(=N)N	   [C;!$(CC(=O));!$(C[O,F]);!$(C(N)N)](=[N;!a;!$(NC=O);!$(N[O,F,N])])[N;!$(N=*);!$(NC=O);!a;!$(N[O,F,N])]	   self_carboxylic acid amidine88

-C(=O)NH2	   [C;!$(C(=O)C(=O));!$(C[O,F]);!$(CNN)](=O)[N;H2]	   self_carboxylic acid prim amide81
-C(=O)N(R)H	   [C;!$(C(=O)C(=O));!$(C[O,F]);!$(CNN)](=O)[N;H1;!$(N(C(=O))C(=O));!a;!$(N[O,N,F])]	   self_carboxylic acid sec amide82
-C(=O)N(R)R	  [C;!$(C(=O)C(=O));!$(C[O,F]);!$(CNN)](=O)[N;!$(N=*);!$(N(C(=O))C(=O));!a;!$(N[O,N,F])]	   self_carboxylic acid tert amide83

-NC(=O)CH3	[N;!a;!$(N(C=O)C=O);!$(N=*);!$(N[O,N,F])]-C(=O)-[C;H3]	methyl amide
RC(=O)OH	*-C(=O)[O;D1]	carboxylic acids
-C(=O)OMe	*-C(=O)[O;D2]-[C;D1;H3]	carbonyl methyl ester
-C(=O)H	*-[C;D2;H1](=O)	self_terminal aldehyde
-C(=O)CH3	*-C(=O)-[C;D1;H3]	carbonyl methyl
-C(=O)N	   [C](=O)-[N;H0;!a]		amide???

-N=C=N	   [N;!$(NC=O);!a;!$(N[O,N,F])]=C=[N;!$(NC=O);!a;!$(N[O,N,F])]		self_carbodiimide148
-N=C=O	   [N;!$(NC=O);!$(N[O,N,F])]=C=O		self_isocyanate145
-C=C=O	   [C;!$(C([O,N,F]));!a;!$(CC=O);!$(C(=O)=*)]=C=O	self_ketene15
